subnet_idx,bits,weight,path
111,11110110,0.0006082865,L1.B0:Full | L1.B1:Full | L2.B0:Full | L2.B1:Full | L3.B0:Skip | L3.B1:Full | L4.B0:Full | L4.B1:Skip
112,00001110,0.0007674435,L1.B0:Skip | L1.B1:Skip | L2.B0:Skip | L2.B1:Skip | L3.B0:Full | L3.B1:Full | L4.B0:Full | L4.B1:Skip
113,10001110,0.000341621,L1.B0:Full | L1.B1:Skip | L2.B0:Skip | L2.B1:Skip | L3.B0:Full | L3.B1:Full | L4.B0:Full | L4.B1:Skip
114,01001110,0.0004058847,L1.B0:Skip | L1.B1:Full | L2.B0:Skip | L2.B1:Skip | L3.B0:Full | L3.B1:Full | L4.B0:Full | L4.B1:Skip
115,11001110,0.0003119563,L1.B0:Full | L1.B1:Full | L2.B0:Skip | L2.B1:Skip | L3.B0:Full | L3.B1:Full | L4.B0:Full | L4.B1:Skip
116,00101110,0.00078383926,L1.B0:Skip | L1.B1:Skip | L2.B0:Full | L2.B1:Skip | L3.B0:Full | L3.B1:Full | L4.B0:Full | L4.B1:Skip
117,10101110,0.0030944976,L1.B0:Full | L1.B1:Skip | L2.B0:Full | L2.B1:Skip | L3.B0:Full | L3.B1:Full | L4.B0:Full | L4.B1:Skip
118,01101110,0.0029419926,L1.B0:Skip | L1.B1:Full | L2.B0:Full | L2.B1:Skip | L3.B0:Full | L3.B1:Full | L4.B0:Full | L4.B1:Skip
119,11101110,0.00891959,L1.B0:Full | L1.B1:Full | L2.B0:Full | L2.B1:Skip | L3.B0:Full | L3.B1:Full | L4.B0:Full | L4.B1:Skip
120,00011110,0.00053962524,L1.B0:Skip | L1.B1:Skip | L2.B0:Skip | L2.B1:Full | L3.B0:Full | L3.B1:Full | L4.B0:Full | L4.B1:Skip
121,10011110,0.00028497522,L1.B0:Full | L1.B1:Skip | L2.B0:Skip | L2.B1:Full | L3.B0:Full | L3.B1:Full | L4.B0:Full | L4.B1:Skip
122,01011110,0.0013558015,L1.B0:Skip | L1.B1:Full | L2.B0:Skip | L2.B1:Full | L3.B0:Full | L3.B1:Full | L4.B0:Full | L4.B1:Skip
123,11011110,0.0025918367,L1.B0:Full | L1.B1:Full | L2.B0:Skip | L2.B1:Full | L3.B0:Full | L3.B1:Full | L4.B0:Full | L4.B1:Skip
124,00111110,0.00045963537,L1.B0:Skip | L1.B1:Skip | L2.B0:Full | L2.B1:Full | L3.B0:Full | L3.B1:Full | L4.B0:Full | L4.B1:Skip
125,10111110,0.003884746,L1.B0:Full | L1.B1:Skip | L2.B0:Full | L2.B1:Full | L3.B0:Full | L3.B1:Full | L4.B0:Full | L4.B1:Skip
126,01111110,0.006764874,L1.B0:Skip | L1.B1:Full | L2.B0:Full | L2.B1:Full | L3.B0:Full | L3.B1:Full | L4.B0:Full | L4.B1:Skip
127,11111110,0.028615747,L1.B0:Full | L1.B1:Full | L2.B0:Full | L2.B1:Full | L3.B0:Full | L3.B1:Full | L4.B0:Full | L4.B1:Skip
128,00000001,0.0018257305,L1.B0:Skip | L1.B1:Skip | L2.B0:Skip | L2.B1:Skip | L3.B0:Skip | L3.B1:Skip | L4.B0:Skip | L4.B1:Full
129,10000001,0.0014451,L1.B0:Full | L1.B1:Skip | L2.B0:Skip | L2.B1:Skip | L3.B0:Skip | L3.B1:Skip | L4.B0:Skip | L4.B1:Full
130,01000001,0.0014324066,L1.B0:Skip | L1.B1:Full | L2.B0:Skip | L2.B1:Skip | L3.B0:Skip | L3.B1:Skip | L4.B0:Skip | L4.B1:Full
131,11000001,0.00122483,L1.B0:Full | L1.B1:Full | L2.B0:Skip | L2.B1:Skip | L3.B0:Skip | L3.B1:Skip | L4.B0:Skip | L4.B1:Full
132,00100001,0.001239236,L1.B0:Skip | L1.B1:Skip | L2.B0:Full | L2.B1:Skip | L3.B0:Skip | L3.B1:Skip | L4.B0:Skip | L4.B1:Full
133,10100001,0.0005623759,L1.B0:Full | L1.B1:Skip | L2.B0:Full | L2.B1:Skip | L3.B0:Skip | L3.B1:Skip | L4.B0:Skip | L4.B1:Full
134,01100001,0.0005368332,L1.B0:Skip | L1.B1:Full | L2.B0:Full | L2.B1:Skip | L3.B0:Skip | L3.B1:Skip | L4.B0:Skip | L4.B1:Full
135,11100001,0.00047755358,L1.B0:Full | L1.B1:Full | L2.B0:Full | L2.B1:Skip | L3.B0:Skip | L3.B1:Skip | L4.B0:Skip | L4.B1:Full
136,00010001,0.0012590137,L1.B0:Skip | L1.B1:Skip | L2.B0:Skip | L2.B1:Full | L3.B0:Skip | L3.B1:Skip | L4.B0:Skip | L4.B1:Full
